time,displacement,acceleration
3.3300,0.00048853,-0.52061057
3.3400,0.00097043,-0.40929890
3.3500,0.00141157,-0.27721465
3.3600,0.00182509,-0.13352573
3.3700,0.00222527,0.01199494
3.3800,0.00262658,0.14950686
3.3900,0.00304270,0.26964270
3.4000,0.00348557,0.36402353
3.4100,0.00396456,0.42572043
3.4200,0.00448582,0.44963778
3.4300,0.00505169,0.43279747
3.4400,0.00566050,0.37450870
3.4500,0.00630643,0.27641421
3.4600,0.00697969,0.14241031
3.4700,0.00766695,-0.02155491
3.4800,0.00835187,-0.20779451
3.4900,0.00901590,-0.40728983
3.5000,0.00963917,-0.61017010
3.5100,0.01020148,-0.80623865
3.5200,0.01068330,-0.98551744
3.5300,0.01106680,-1.13878074
3.5400,0.01133669,-1.25804915
3.5500,0.01148112,-1.33701742
3.5600,0.01149222,-1.37139311
3.5700,0.01136657,-1.35912780
3.5800,0.01110540,-1.30052852
3.5900,0.01071453,-1.19824321
3.6000,0.01020417,-1.05712119
3.6100,0.00958836,-0.88395603
3.6200,0.00888436,-0.68712456
3.6300,0.00811176,-0.47614159
3.6400,0.00729158,-0.26115411
3.6500,0.00644523,-0.05240226
3.6600,0.00559351,0.14032410
3.6700,0.00475561,0.30820383
3.6800,0.00394826,0.44385030
3.6900,0.00318499,0.54169946
3.7000,0.00247554,0.59829928
3.7100,0.00182556,0.61248515
3.7200,0.00123649,0.58543183
3.7300,0.00070564,0.52057922
3.7400,0.00022658,0.42343594
3.7500,-0.00021034,0.30127148
3.7600,-0.00061727,0.16271341
3.7700,-0.00100799,0.01727154
3.7800,-0.00139696,-0.12518551
3.7900,-0.00179834,-0.25497285
3.8000,-0.00222503,-0.36312192
3.8100,-0.00268779,-0.44187434
3.8200,-0.00319445,-0.48511037
3.8300,-0.00374928,-0.48868890
3.8400,-0.00435263,-0.45068055
3.8500,-0.00500071,-0.37148144
3.8600,-0.00568561,-0.25380117
3.8700,-0.00639562,-0.10252597
3.8800,-0.00711565,0.07553606
3.8900,-0.00782797,0.27201359
3.9000,-0.00851302,0.47741562
3.9100,-0.00915034,0.68163597
3.9200,-0.00971959,0.87449162
3.9300,-0.01020156,1.04626602
3.9400,-0.01057916,1.18822813
3.9500,-0.01083825,1.29309921
3.9600,-0.01096838,1.35544244
3.9700,-0.01096335,1.37195422
3.9800,-0.01082151,1.34164168
3.9900,-0.01054589,1.26587662
4.0000,-0.01014403,1.14832322
4.0100,-0.00962764,0.99474321
4.0200,-0.00901202,0.81268909
4.0300,-0.00831528,0.61110181
4.0400,-0.00755752,0.39983457
4.0500,-0.00675977,0.18912835
4.0600,-0.00594302,-0.01093269
4.0700,-0.00512720,-0.19095666
4.0800,-0.00433023,-0.34274144
4.0900,-0.00356725,-0.45970753
4.1000,-0.00284991,-0.53724304
4.1100,-0.00218594,-0.57294222
4.1200,-0.00157892,-0.56672492
4.1300,-0.00102823,-0.52083036
4.1400,-0.00052934,-0.43968587
4.1500,-0.00007417,-0.32965750
4.1600,0.00034820,-0.19869617
4.1700,0.00075081,-0.05589831
4.1800,0.00114784,0.08899525
4.1900,0.00155371,0.22613502
4.2000,0.00198204,0.34610454
4.2100,0.00244478,0.44043854
4.2200,0.00295128,0.50208991
4.2300,0.00350768,0.52582006
4.2400,0.00411631,0.50849168
4.2500,0.00477545,0.44924818
4.2600,0.00547917,0.34956996
4.2700,0.00621754,0.21320446
4.2800,0.00697697,0.04597376
4.2900,0.00774081,-0.14453000
4.3000,0.00849007,-0.34934514
4.3100,0.00920437,-0.55861524
4.3200,0.00986284,-0.76211275
4.3300,0.01044524,-0.94978345
4.3400,0.01093288,-1.11228224
4.3500,0.01130956,-1.24147161
4.3600,0.01156243,-1.33085602
4.3700,0.01168258,-1.37592877
4.3800,0.01166552,-1.37441267
4.3900,0.01151142,-1.32638173
4.4000,0.01122505,-1.23425716
4.4100,0.01081558,-1.10267801
4.4200,0.01029611,-0.93825334
4.4300,0.00968303,-0.74920925
4.4400,0.00899515,-0.54494979
4.4500,0.00825282,-0.33555533
4.4600,0.00747689,-0.13124533
4.4700,0.00668772,0.05816562
4.4800,0.00590416,0.22378914
4.4900,0.00514272,0.35813398
4.5000,0.00441678,0.45550101
4.5100,0.00373605,0.51228119
4.5200,0.00310621,0.52714054
4.5300,0.00252873,0.50108220
4.5400,0.00200105,0.43738220
4.5500,0.00151683,0.34140262
4.5600,0.00106655,0.22029214
4.5700,0.00063816,0.08259017
4.5800,0.00021796,-0.06224405
4.5900,-0.00020843,-0.20435200
4.6000,-0.00065516,-0.33401800
4.6100,-0.00113511,-0.44220366
4.6200,-0.00165903,-0.52104586
4.6300,-0.00223476,-0.56429139
4.6400,-0.00286659,-0.56764475
4.6500,-0.00355483,-0.52901043
4.6600,-0.00429562,-0.44861653
4.6700,-0.00508095,-0.32901292
4.6800,-0.00589889,-0.17494413
4.6900,-0.00673409,0.00689634
4.7000,-0.00756844,0.20821715
4.7100,-0.00838189,0.41956673
4.7200,-0.00915338,0.63083401
4.7300,-0.00986187,0.83178529
4.7400,-0.01048735,1.01260847
4.7500,-0.01101181,1.16443526
4.7600,-0.01142013,1.27981350
4.7700,-0.01170083,1.35310406
4.7800,-0.01184659,1.38078102
4.7900,-0.01185467,1.36161905
4.8000,-0.01172696,1.29675784
4.8100,-0.01146994,1.18964022
4.8200,-0.01109425,1.04582719
4.8300,-0.01061423,0.87269989
4.8400,-0.01004711,0.67906454
4.8500,-0.00941218,0.47468153
4.8600,-0.00872978,0.26974405
4.8700,-0.00802032,0.07433423
4.8800,-0.00730328,-0.10211388
4.8900,-0.00659621,-0.25131581
4.9000,-0.00591400,-0.36657546
4.9100,-0.00526812,-0.44313781
4.9200,-0.00466621,-0.47843652
4.9300,-0.00411179,-0.47222318
4.9400,-0.00360427,-0.42657128
4.9500,-0.00313911,-0.34575475
4.9600,-0.00270829,-0.23600769
4.9700,-0.00230089,-0.10517822
4.9800,-0.00190390,0.03770481
4.9900,-0.00150313,0.18292893
5.0000,-0.00108413,0.32063209
5.0100,-0.00063320,0.44134492
5.0200,-0.00013836,0.53651194
5.0300,0.00040987,0.59896355
5.0400,0.00101767,0.62331343
5.0500,0.00168745,0.60625987
5.0600,0.00241751,0.54677467
5.0700,0.00320190,0.44616959
5.0800,0.00403060,0.30803643
5.0900,0.00488983,0.13806415
5.1000,0.00576267,-0.05625732
5.1100,0.00662975,-0.26603066
5.1200,0.00747018,-0.48142105
5.1300,0.00826251,-0.69217704
5.1400,0.00898574,-0.88817455
5.1500,0.00962036,-1.05995466
5.1600,0.01014925,-1.19922640
5.1700,0.01055855,-1.29930743
5.1800,0.01083829,-1.35547896
5.1900,0.01098286,-1.36523592
5.2000,0.01099130,-1.32841875
5.2100,0.01086727,-1.24722001
5.2200,0.01061885,-1.12606515
5.2300,0.01025811,-0.97137418
5.2400,0.00980044,-0.79121681
5.2500,0.00926378,-0.59487972
5.2600,0.00866769,-0.39236926
5.2700,0.00803232,-0.19387630
5.2800,0.00737746,-0.00923191
5.2900,0.00672148,0.15261670
5.3000,0.00608050,0.28408193
5.3100,0.00546763,0.37933764
5.3200,0.00489237,0.43462547
5.3300,0.00436022,0.44844930
5.3400,0.00387257,0.42164726
5.3500,0.00342677,0.35733767
5.3600,0.00301644,0.26074165
5.3700,0.00263198,0.13889221
5.3800,0.00226126,0.00024537
5.3900,0.00189050,-0.14578564
5.4000,0.00150519,-0.28934796
5.4100,0.00109104,-0.42069059
5.4200,0.00063500,-0.53070058
5.4300,0.00012614,-0.61140503
5.4400,-0.00044357,-0.65641170
5.4500,-0.00107858,-0.66126466
5.4600,-0.00177936,-0.62369566
5.4700,-0.00254216,-0.54375752
5.4800,-0.00335900,-0.42383260
5.4900,-0.00421793,-0.26851554
5.5000,-0.00510346,-0.08437659
5.5100,-0.00599727,0.12038160
5.5200,-0.00687894,0.33635567
5.5300,-0.00772696,0.55343824
5.5400,-0.00851972,0.76135306
5.5500,-0.00923651,0.95019993
5.5600,-0.00985850,1.11098000
5.5700,-0.01036970,1.23607329
5.5800,-0.01075764,1.31964276
5.5900,-0.01101399,1.35794329
5.6000,-0.01113494,1.34951883
5.6100,-0.01112132,1.29527729
5.6200,-0.01097852,1.19843906
5.6300,-0.01071620,1.06436199
5.6400,-0.01034768,0.90025228
5.6500,-0.00988933,0.71477671
5.6600,-0.00935959,0.51759730
5.6700,-0.00877810,0.31885316
5.6800,-0.00816466,0.12861768
5.6900,-0.00753821,-0.04364000
5.7000,-0.00691590,-0.18956013
5.7100,-0.00631227,-0.30233701
5.7200,-0.00573855,-0.37707922
5.7300,-0.00520220,-0.41106617
5.7400,-0.00470662,-0.40388710
5.7500,-0.00425110,-0.35745517
5.7600,-0.00383102,-0.27589585
5.7700,-0.00343830,-0.16531575
5.7800,-0.00306193,-0.03346435
5.7900,-0.00268880,0.11069319
5.8000,-0.00230458,0.25746893
5.8100,-0.00189467,0.39698442
5.8200,-0.00144521,0.51971335
5.8300,-0.00094399,0.61700561
5.8400,-0.00038134,0.68156424
5.8500,0.00024915,0.70784980
5.8600,0.00095007,0.69239007
5.8700,0.00171987,0.63397857
5.8800,0.00255272,0.53375102
5.8900,0.00343863,0.39513563
5.9000,0.00436377,0.22367983
5.9100,0.00531107,0.02676258
5.9200,0.00626091,-0.18679210
5.9300,0.00719201,-0.40717989
5.9400,0.00808242,-0.62413406
5.9500,0.00891053,-0.82746886
5.9600,0.00965609,-1.00761908
5.9700,0.01030115,-1.15614686
5.9800,0.01083092,-1.26618859
5.9900,0.01123443,-1.33281779
6.0000,0.01150504,-1.35330448
6.0100,0.01164072,-1.32725723
6.0200,0.01164403,-1.25664019
6.0300,0.01152203,-1.14566421
6.0400,0.01128574,-1.00055795
6.0500,0.01094961,-0.82923125
6.0600,0.01053071,-0.64084903
6.0700,0.01004778,-0.44533845
6.0800,0.00952029,-0.25285598
6.0900,0.00896740,-0.07324301
6.1000,0.00840701,0.08450072
6.1100,0.00785482,0.21269760
6.1200,0.00732361,0.30540062
6.1300,0.00682261,0.35870794
6.1400,0.00635713,0.37096668
6.1500,0.00592841,0.34285497
6.1600,0.00553367,0.27733784
6.1700,0.00516639,0.17949950
6.1800,0.00481685,0.05626091
6.1900,0.00447279,-0.08400193
6.2000,0.00412026,-0.23191858
6.2100,0.00374457,-0.37763866
6.2200,0.00333121,-0.51137250
6.2300,0.00286689,-0.62392899
6.2400,0.00234042,-0.70722134
6.2500,0.00174353,-0.75471372
6.2600,0.00107150,-0.76178456
6.2700,0.00032366,-0.72598688
6.2800,-0.00049643,-0.64719172
6.2900,-0.00138089,-0.52760667
6.3000,-0.00231781,-0.37166864
6.3100,-0.00329165,-0.18581647
6.3200,-0.00428389,0.02184449
6.3300,-0.00527383,0.24196768
6.3400,-0.00623957,0.46445791
6.3500,-0.00715892,0.67900457
6.3600,-0.00801052,0.87562700
6.3700,-0.00877478,1.04520263
6.3800,-0.00943482,1.17994956
6.3900,-0.00997720,1.27383764
6.4000,-0.01039257,1.32290605
6.4100,-0.01067604,1.32547021
6.4200,-0.01082735,1.28220704
6.4300,-0.01085079,1.19611396
6.4400,-0.01075494,1.07234382
6.4500,-0.01055211,0.91792475
6.4600,-0.01025767,0.74137999
6.4700,-0.00988919,0.55226810
6.4800,-0.00946552,0.36066838
6.4900,-0.00900571,0.17663918
6.5000,-0.00852809,0.00967818
6.5100,-0.00804930,-0.13178629
6.5200,-0.00758341,-0.24084554
6.5300,-0.00714129,-0.31247816
6.5400,-0.00673008,-0.34381538
6.5500,-0.00635292,-0.33428974
6.5600,-0.00600885,-0.28565928
6.5700,-0.00569306,-0.20190578
6.5800,-0.00539722,-0.08901277
6.5900,-0.00511010,0.04536483
6.6000,-0.00481833,0.19232162
6.6100,-0.00450731,0.34219041
6.6200,-0.00416213,0.48507234
6.6300,-0.00376858,0.61137997
6.6400,-0.00331411,0.71236397
6.6500,-0.00278867,0.78059494
6.6600,-0.00218549,0.81037453
6.6700,-0.00150163,0.79805362
6.6800,-0.00073832,0.74224025
6.6900,0.00009885,0.64388630
6.7000,0.00100009,0.50624789
6.7100,0.00195166,0.33472183
6.7200,0.00293649,0.13656672
6.7300,0.00393482,-0.07947643
6.7400,0.00492514,-0.30364349
6.7500,0.00588511,-0.52566195
6.7600,0.00679261,-0.73529347
6.7700,0.00762678,-0.92287498
6.7800,0.00836891,-1.07982935
6.7900,0.00900337,-1.19911827
6.8000,0.00951828,-1.27561289
6.8100,0.00990601,-1.30636244
6.8200,0.01016349,-1.29074631
6.8300,0.01029227,-1.23050160
6.8400,0.01029833,-1.12962448
6.8500,0.01019173,-0.99415092
6.8600,0.00998593,-0.83182844
6.8700,0.00969710,-0.65169665
6.8800,0.00934317,-0.46359915
6.8900,0.00894286,-0.27765301
6.9000,0.00851468,-0.10370445
6.9100,0.00807596,0.04920000
6.9200,0.00764191,0.17329852
6.9300,0.00722490,0.26252892
6.9400,0.00683383,0.31285138
6.9500,0.00647369,0.32246144
6.9600,0.00614547,0.29188198
6.9700,0.00584612,0.22392921
6.9800,0.00556890,0.12355444
6.9900,0.00530381,-0.00242959
7.0000,0.00503834,-0.14572335
7.0100,0.00475823,-0.29699566
7.0200,0.00444844,-0.44639496
7.0300,0.00409410,-0.58408909
7.0400,0.00368153,-0.70080449
7.0500,0.00319913,-0.78833572
7.0600,0.00263818,-0.83999790
7.0700,0.00199358,-0.85099763
7.0800,0.00126425,-0.81870230
7.0900,0.00045340,-0.74279337
7.1000,-0.00043137,-0.62529516
7.1100,-0.00137837,-0.47047770
7.1200,-0.00237215,-0.28463861
7.1300,-0.00339420,-0.07577587
7.1400,-0.00442372,0.14683114
7.1500,-0.00543852,0.37310975
7.1600,-0.00641607,0.59272509
7.1700,-0.00733448,0.79562570
7.1800,-0.00817355,0.97257425
7.1900,-0.00891565,1.11563498
7.2000,-0.00954651,1.21859167
7.2100,-0.01005589,1.27727364
7.2200,-0.01043792,1.28977231
7.2300,-0.01069136,1.25653684
7.2400,-0.01081951,1.18034351
7.2500,-0.01082994,1.06614073
7.2600,-0.01073401,0.92077793
7.2700,-0.01054620,0.75263305
7.2800,-0.01028323,0.57115856
7.2900,-0.00996318,0.38637055
7.3000,-0.00960443,0.20830838
7.3100,-0.00922472,0.04649396
7.3200,-0.00884015,-0.09058026
7.3300,-0.00846437,-0.19590706
7.3400,-0.00810788,-0.26433934
7.3500,-0.00777749,-0.29286417
7.3600,-0.00747604,-0.28076114
7.3700,-0.00720234,-0.22963647
7.3800,-0.00695132,-0.14333127
7.3900,-0.00671438,-0.02770865
7.4000,-0.00648003,0.10966858
7.4100,-0.00623460,0.25995242
7.4200,-0.00596315,0.41349398
7.4300,-0.00565041,0.56037144
7.4400,-0.00528177,0.69093330
7.4500,-0.00484424,0.79632752
7.4600,-0.00432736,0.86898819
7.4700,-0.00372390,0.90305329
7.4800,-0.00303049,0.89469114
7.4900,-0.00224797,0.84231791
7.5000,-0.00138159,0.74669430
7.5100,-0.00044087,0.61089631
7.5200,0.00056064,0.44016144
7.5300,0.00160594,0.24161862
7.5400,0.00267524,0.02391629
7.5500,0.00374685,-0.20323139
7.5600,0.00479815,-0.42955586
7.5700,0.00580658,-0.64477558
7.5800,0.00675071,-0.83913850
7.5900,0.00761118,-1.00393638
7.6000,0.00837155,-1.13196342
7.6100,0.00901909,-1.21789457
7.6200,0.00954521,-1.25856317
7.6300,0.00994586,-1.25312308
7.6400,0.01022157,-1.20308666
7.6500,0.01037731,-1.11223644
7.6600,0.01042212,-0.98641548
7.6700,0.01036852,-0.83320764
7.6800,0.01023175,-0.66152488
7.6900,0.01002891,-0.48112406
7.7000,0.00977794,-0.30207903
7.7100,0.00949666,-0.13423661
7.7200,0.00920180,0.01331441
7.7300,0.00890803,0.13273256
7.7400,0.00862724,0.21784502
7.7500,0.00836792,0.26447826
7.7600,0.00813471,0.27068024
